dest,packets,traffic_in_bytes
239.192.0.1,918871,1855091270
192.168.63.254,510553,245258473
192.168.63.253,632716,231505519
192.168.129.124,39236,54408432
192.168.128.16,19521,16612283
192.168.128.2,10628,9147962
192.168.128.220,7379,5492599
192.168.130.44,16080,1275262
209.85.137.4,15490,1029212
45.60.67.13,1220,906455
17.248.225.29,6228,528636
255.255.255.255,1368,467846
17.248.225.44,5830,465170
ff02::fb,2837,438580
192.168.129.173,4983,423010
192.168.159.254,1230,417594
151.101.67.6,930,411679
151.101.131.6,908,408282
151.101.195.6,914,407586
151.101.3.6,921,401486
172.224.111.4,678,399780
17.248.225.14,4637,366182
224.0.0.251,2605,348031
192.168.128.52,3817,346656
192.168.129.248,3604,338155
192.168.130.224,3598,331986
172.224.110.16,517,300498
192.168.129.212,3469,297290
172.224.180.3,508,294524
192.168.128.72,2769,265328
172.224.180.4,435,257294
172.224.110.6,422,244470
172.224.180.6,421,243078
172.224.180.131,422,241842
172.224.110.5,414,239904
172.224.111.10,420,233802
192.168.33.115,323,233355
192.168.130.192,2351,213420
172.224.111.14,345,212184
17.248.167.55,370,210192
172.224.111.12,334,204756
192.168.129.180,1891,202248
17.248.225.68,2544,198288
17.248.225.70,2534,197588
172.224.110.7,337,197106
192.168.130.104,1010,195898
192.168.130.196,2039,194866
192.168.129.40,2383,193758
172.224.180.138,339,193304
172.224.180.9,338,191928
192.168.130.208,2369,191014
172.224.180.5,326,188364
192.168.129.88,1840,184298
192.168.131.192,1975,181918
17.248.167.88,354,178722
192.168.131.172,2061,175916
192.168.131.16,1958,175424
192.168.131.132,2067,172562
17.248.167.41,314,169032
ff02::16,1600,163860
192.168.129.69,1633,158848
192.168.130.238,1699,153824
192.168.129.196,1494,146268
17.248.167.68,236,145438
17.248.225.67,1758,139831
17.248.167.73,216,136422
17.248.167.106,245,130800
172.217.31.164,456,121670
192.168.129.24,1489,121308
172.224.111.8,201,112914
17.248.167.70,216,112770
17.248.167.89,214,111300
17.57.145.148,109,107748
17.248.225.65,1366,106468
17.248.167.90,202,106422
18.155.192.122,1368,106279
192.168.130.76,1000,104108
172.224.111.7,160,103146
192.168.130.0,1283,102144
17.248.225.69,1303,101602
172.224.180.7,155,94856
17.248.167.102,180,88938
17.248.167.101,171,85608
17.248.167.84,113,83967
172.224.110.19,147,83736
172.224.110.8,145,82266
17.253.69.207,145,80422
192.168.128.164,590,79036
192.168.129.184,965,78830
17.248.167.105,122,77828
ff02::2,1132,76200
35.212.26.181,72,71996
35.212.76.96,64,71579
17.253.150.10,66,70901
17.253.145.10,49,68942
17.248.225.64,876,68312
17.57.154.7,851,68122
172.224.110.11,99,66836
192.168.128.160,672,66290
172.224.111.16,109,65004
17.57.145.151,139,64848
172.224.110.4,106,64770
192.168.33.247,102,64149
17.248.167.85,130,61386
103.43.90.19,76,60851
17.248.167.71,125,59682
17.248.167.56,124,59604
147.92.146.114,88,58677
172.224.110.18,84,57798
17.248.167.57,78,57330
192.168.130.156,717,56994
17.23.18.34,261,54009
172.224.110.20,74,53076
172.224.180.135,106,52944
23.63.233.9,177,52868
172.224.110.9,105,52866
23.51.14.147,272,52355
17.248.167.54,94,52008
17.248.167.42,72,51606
172.224.180.10,71,51528
17.248.167.39,89,48990
17.248.167.69,86,48756
142.250.194.110,124,48225
8.8.4.4,511,47262
31.13.82.142,65,46414
17.248.167.103,81,45738
172.224.180.133,74,45192
31.13.82.36,117,45108
142.250.196.136,363,44127
17.248.167.53,77,44112
124.146.153.154,107,43948
8.8.8.8,513,43407
172.224.180.136,84,43344
192.168.131.140,313,42464
151.101.3.52,60,42252
151.101.131.52,60,42252
151.101.195.52,60,42252
151.101.67.52,60,42252
17.248.167.74,72,39780
23.62.20.111,76,39771
172.217.26.238,87,37634
17.248.167.86,44,37596
142.250.194.131,94,37345
157.240.209.142,52,36888
147.92.191.92,76,36872
202.233.84.1,100,36370
172.224.110.15,52,35592
65.1.18.34,57,35292
162.159.194.66,44,35086
17.248.167.59,61,34964
31.13.82.174,52,34902
57.144.150.34,52,34902
192.168.130.116,392,34754
23.62.20.107,285,34484
34.102.157.207,61,34182
17.248.167.72,64,33900
224.0.0.22,556,33360
17.248.167.75,50,32808
31.13.82.52,56,32336
18.205.208.254,197,32071
17.248.167.43,57,32040
17.56.9.32,417,31918
172.224.180.137,49,31400
23.62.20.91,218,30681
34.96.106.127,30,30588
192.168.100.255,110,29360
172.217.175.46,107,29288
192.168.129.200,165,29168
65.8.179.77,388,29095
103.132.192.30,106,28900
57.144.152.196,42,28812
57.144.152.192,101,28550
52.193.218.111,84,28454
35.244.205.217,48,28368
172.64.69.66,40,28168
162.159.196.66,40,28168
172.64.68.66,39,28126
17.156.192.7,360,27936
64.233.189.108,378,27804
151.101.64.84,40,27450
13.227.77.215,130,27442
142.250.196.104,251,27309
182.22.30.204,78,26817
4.153.129.168,56,26500
192.168.33.120,119,26459
192.168.129.84,120,25760
151.101.192.84,40,25671
172.217.26.226,61,25560
142.251.42.170,71,24930
239.255.255.250,132,24564
17.248.167.38,45,24534
183.79.48.249,85,23989
23.51.14.177,201,23640
192.168.34.57,66,23562
182.161.74.19,79,23454
172.224.110.12,27,23114
64.233.189.109,313,22734
18.155.192.75,94,22604
3.115.53.205,88,22507
142.250.194.142,55,22356
192.168.33.201,65,22230
142.251.42.206,52,22155
13.112.141.181,60,21943
17.157.64.66,24,21320
216.239.38.223,47,20877
23.217.68.33,193,20802
182.161.74.14,66,20714
192.168.34.66,60,20520
142.251.42.131,22,20428
172.224.111.11,23,20190
13.113.0.9,62,20155
192.168.255.255,195,19647
17.248.167.87,32,19578
23.52.128.70,33,19477
18.173.121.68,79,19401
141.226.224.32,66,19377
17.57.145.26,65,19258
31.13.82.7,63,19117
108.138.246.13,81,19061
147.92.184.151,72,18961
172.217.175.34,43,18819
108.138.245.118,28,18779
182.161.74.48,60,18509
142.250.77.162,61,18277
17.248.167.36,31,18186
17.253.69.196,233,18174
17.57.155.39,252,17992
34.117.67.69,16,17940
34.111.123.165,61,17904
17.111.103.20,231,17762
151.101.1.91,79,17696
69.173.158.64,55,17147
104.21.34.165,94,16870
17.8.139.6,42,16798
17.248.167.58,29,16716
34.102.164.249,14,16500
34.36.71.42,12,16344
47.130.6.21,46,16288
34.102.215.99,206,16068
192.168.33.184,50,16024
142.250.207.2,33,15917
3.169.183.128,45,15577
54.150.150.157,49,15399
182.22.16.123,193,15225
65.8.180.82,63,15169
3.169.183.41,34,15158
18.176.207.71,49,14769
74.125.23.154,51,14255
34.160.231.76,15,14010
142.251.42.130,40,13943
202.233.84.10,43,13915
151.101.1.44,78,13890
34.49.1.209,33,13875
172.224.111.6,25,13776
115.127.227.158,61,13395
17.253.71.150,171,13338
162.159.140.229,46,13338
172.66.0.227,47,13151
172.224.111.13,16,13074
17.253.69.202,167,13026
23.52.128.21,157,13004
17.253.69.204,166,12948
108.139.10.31,74,12784
207.65.34.80,36,12781
35.244.154.8,41,12490
151.101.108.157,63,12471
35.72.86.201,42,12453
157.240.209.63,16,12192
157.240.31.63,16,12192
57.144.150.192,16,12192
17.253.69.205,156,12168
23.35.100.27,34,12107
17.57.12.34,109,12036
216.58.220.138,46,11962
23.62.20.102,129,11937
23.62.20.117,35,11852
68.71.249.74,53,11845
133.237.108.90,36,11822
172.224.180.8,16,11760
172.224.110.13,15,11682
172.224.111.5,14,11604
17.253.71.133,148,11544
151.101.2.132,44,11290
34.110.200.237,13,11286
216.239.36.223,18,11283
176.32.88.193,41,11263
17.253.69.199,143,11154
216.58.220.106,75,11033
23.62.20.101,34,10975
23.216.153.78,143,10941
157.240.209.16,15,10898
17.253.71.141,118,10892
18.140.18.123,36,10679
17.253.71.127,7,10632
17.253.71.65,7,10632
23.54.60.36,27,10628
17.248.167.40,18,10602
17.253.71.149,126,10559
17.253.71.135,92,10542
17.253.69.201,135,10514
57.144.150.1,15,10482
23.51.14.193,52,10480
17.253.69.203,133,10374
57.155.120.218,33,10321
17.253.71.147,132,10296
142.250.207.35,19,10290
23.52.128.88,35,10234
104.18.26.193,27,10116
35.78.134.177,46,10102
17.253.69.195,129,10062
17.253.71.136,129,10062
65.8.177.106,76,9924
23.52.128.17,127,9906
18.155.192.58,77,9631
57.144.152.141,14,9604
17.253.69.208,123,9594
139.99.123.150,37,9517
23.62.20.98,46,9368
23.217.180.238,36,9341
142.251.42.138,62,9297
18.244.214.45,31,9276
