source,packets,traffic_in_bytes
192.168.100.201,918871,1855091270
192.168.63.253,599324,261349558
192.168.63.254,515624,222048882
209.85.137.4,38308,54313238
18.155.192.122,3117,4620791
192.168.128.16,14976,4137842
192.168.130.44,26798,2675244
45.60.67.13,1989,2495728
192.168.129.173,13713,2326794
192.168.128.72,11423,2002547
17.57.154.7,1424,1961566
192.168.130.196,8437,1603630
192.168.129.212,9262,1541326
172.217.31.164,1207,1453981
142.250.196.136,1082,1413086
192.168.128.220,8055,1393543
65.8.179.77,892,1316044
192.168.130.224,7486,1196373
192.168.129.124,16500,1128434
192.168.131.16,5285,1126448
142.250.196.104,767,1030986
192.168.129.88,4962,905752
192.168.128.52,6953,761572
192.168.129.69,4272,708722
192.168.130.192,7946,669903
182.22.16.123,443,612462
192.168.131.132,4153,604518
192.168.128.2,7230,565407
192.168.129.200,2094,519712
192.168.131.192,5523,475430
192.168.131.172,3884,424844
192.168.33.115,2973,416136
192.168.33.120,3225,390260
192.168.159.254,1285,349328
23.216.153.78,252,344492
192.168.129.248,3601,340214
192.168.130.76,4328,338148
192.168.129.180,2849,330918
23.51.14.147,314,317691
192.168.33.184,1149,313322
23.62.20.107,354,299952
23.51.14.177,264,289219
31.13.82.7,258,287235
192.168.130.208,3547,274852
192.168.129.40,3464,270356
192.168.130.238,2792,268406
192.168.33.247,1045,256078
192.168.128.160,1485,254664
23.63.233.9,252,252189
17.23.18.34,246,240322
18.205.208.254,243,239577
0.0.0.0,678,231866
192.168.130.104,1439,219011
192.168.129.24,2225,174468
fe80::89b:5560:4689:df8a,747,172586
192.168.130.0,1981,152804
192.168.128.164,903,152208
192.168.129.196,1498,146558
192.168.129.184,1497,117868
151.101.1.44,120,117274
fe80::86e:f2ff:28cb:ffc0,1091,107508
10.4.128.16,180,106200
23.62.20.91,217,103214
23.217.68.33,136,102781
23.62.20.102,128,95485
18.155.192.75,100,81669
192.168.130.156,1058,81374
65.8.177.106,82,76922
31.13.82.36,168,76109
142.250.194.110,139,72193
192.168.34.57,132,64350
65.8.180.2,54,59092
13.227.77.215,126,53753
151.101.108.157,75,53142
124.146.153.154,99,52320
18.173.121.68,77,51589
142.251.42.138,44,51489
142.250.194.131,108,51000
192.168.130.116,603,49734
183.79.48.249,84,48074
::,509,47834
104.21.34.165,141,47330
115.127.227.158,65,47125
172.217.26.238,115,46538
192.168.34.66,226,46510
192.168.131.140,363,46092
8.8.4.4,64,45191
18.155.192.58,76,44568
182.22.30.204,80,42138
108.139.10.31,101,41744
172.217.175.34,58,41658
172.217.175.46,74,39675
8.8.8.8,65,39506
23.51.14.193,59,39505
fe80::1443:21e7:6a9a:9015,309,38244
103.132.192.30,89,37868
65.8.180.82,65,36313
3.115.53.205,100,35632
202.233.84.1,105,35248
fe80::84:1df8:ea7:98d,340,34932
13.107.226.46,32,33947
108.138.246.13,63,33582
fe80::10b3:df1:3c5:fcc,324,33102
182.161.74.48,55,32924
142.250.77.162,76,32056
23.62.20.111,61,32000
34.102.157.207,65,31831
142.251.42.130,42,31433
182.161.74.17,30,31200
68.71.249.74,50,29332
182.161.74.19,66,29176
3.169.183.128,43,28523
142.250.194.142,54,28506
151.101.1.91,86,27582
57.182.237.220,46,27251
17.248.225.29,54,26905
142.250.207.2,36,26103
192.168.129.84,120,25520
103.43.90.19,56,25290
fe80::18d4:133d:a5ae:9bcb,240,25098
fe80::14c3:77ea:d80e:9601,252,25086
35.244.154.8,51,24459
139.99.123.150,33,23983
23.62.20.98,45,23655
18.140.18.123,37,23260
13.112.141.181,69,23068
147.92.184.151,60,23049
52.198.196.19,40,23009
192.168.131.164,50,22630
147.92.191.92,51,22526
54.251.116.93,37,22450
52.193.218.111,70,22402
172.217.26.226,51,22080
17.253.71.141,29,22037
23.217.180.238,36,21906
192.168.33.201,65,21905
17.8.139.6,48,21781
23.62.21.155,32,21263
69.173.158.64,41,21184
23.35.100.27,47,21175
216.239.38.223,41,20357
151.101.64.84,36,20025
142.251.42.170,33,20004
192.168.128.3,195,19647
74.125.23.154,42,19645
3.169.183.41,32,19501
34.111.123.165,63,19473
fe80::1cb4:f1f7:c2fe:5f22,186,19384
23.51.14.162,22,18792
23.62.185.138,24,18779
172.67.163.20,51,18386
182.161.74.14,56,18172
151.101.3.6,24,17989
fe80::14b9:1182:e224:de05,171,17840
35.244.205.217,56,17776
23.62.20.73,29,17410
182.22.25.124,23,17214
23.62.20.117,28,17102
47.130.6.21,34,17026
35.212.103.4,28,16694
52.223.2.229,36,16371
fe80::42:7ae2:aa1b:cba2,155,16198
18.176.207.71,44,16041
108.138.246.8,32,15902
172.217.161.74,26,15863
18.244.214.45,29,15851
57.155.120.218,28,15600
180.222.119.247,25,15573
182.22.25.252,24,15530
13.113.0.9,67,15511
104.17.111.223,25,15425
fe80::880:903e:2c5b:e9e5,135,15345
35.72.86.201,43,15341
35.78.134.177,55,15332
34.49.1.209,33,15252
4.153.129.168,28,15172
216.58.220.106,29,15111
17.57.145.151,53,15066
23.62.20.114,54,14809
18.239.199.34,27,14795
3.169.183.7,27,14785
fe80::1ca0:af5e:3ac4:9dbb,141,14682
18.173.121.87,27,14556
fe80::10be:af5d:a02b:a241,140,14522
34.111.57.229,30,14477
151.101.2.132,47,14139
23.54.60.36,19,14137
34.192.193.237,26,14011
23.106.127.169,32,13951
54.150.150.157,51,13888
133.237.108.90,35,13766
fe80::82c:471c:b62e:1a30,130,13515
fe80::1844:2097:3257:9265,126,13410
147.92.146.114,69,13237
104.18.26.193,28,13118
fe80::8ea:da35:77d2:f31c,126,13008
52.11.127.249,23,12830
151.101.192.84,36,12794
207.65.34.80,37,12751
176.32.88.193,36,12514
23.52.128.88,32,12327
162.159.140.229,49,12095
172.66.0.227,49,12026
202.233.84.10,38,12022
216.58.220.138,28,12019
23.62.20.101,28,11892
151.101.67.6,14,11850
fe80::ca7:3c49:21f0:240f,92,11823
fe80::4c1:291e:f7eb:572e,105,11720
17.248.225.44,26,11662
23.35.101.101,32,11658
172.217.174.97,16,11655
35.244.159.8,24,11621
108.139.10.62,18,11291
54.65.189.210,25,11053
18.178.165.190,24,10973
23.54.60.26,22,10782
142.251.42.206,15,10774
141.226.224.32,58,10728
17.248.225.67,12,10562
185.84.60.20,21,10532
