ip_address,packets,traffic_in_bytes
192.168.100.201,918871,1855091270
239.192.0.1,918871,1855091270
192.168.63.253,1232040,492855077
192.168.63.254,1026177,467307355
192.168.129.124,55736,55536866
209.85.137.4,53798,55342450
192.168.128.16,34497,20750125
192.168.128.2,17858,9713369
192.168.128.220,15434,6886142
18.155.192.122,4485,4727070
192.168.130.44,42878,3950506
45.60.67.13,3209,3402183
192.168.129.173,18696,2749804
192.168.128.72,14192,2267875
17.57.154.7,2275,2029688
192.168.129.212,12731,1838616
192.168.130.196,10476,1798496
172.217.31.164,1663,1575651
192.168.130.224,11084,1528359
142.250.196.136,1445,1457213
65.8.179.77,1280,1345139
192.168.131.16,7243,1301872
192.168.128.52,10770,1108228
192.168.129.88,6802,1090050
142.250.196.104,1018,1058295
192.168.130.192,10297,883323
192.168.129.69,5905,867570
192.168.131.132,6220,777080
192.168.159.254,2515,766922
192.168.129.248,7205,678369
192.168.131.192,7498,657348
192.168.33.115,3296,649491
182.22.16.123,636,627687
192.168.131.172,5945,600760
17.248.225.29,6282,555541
192.168.129.200,2259,548880
192.168.129.180,4740,533166
17.248.225.44,5856,476832
255.255.255.255,1368,467846
192.168.130.208,5916,465866
192.168.129.40,5847,464114
192.168.130.76,5328,442256
ff02::fb,2837,438580
151.101.67.6,944,423529
192.168.130.238,4491,422230
151.101.3.6,945,419475
192.168.33.120,3344,416719
192.168.130.104,2449,414909
151.101.131.6,908,408282
151.101.195.6,914,407586
172.224.111.4,678,399780
23.51.14.147,586,370046
17.248.225.14,4639,367362
23.216.153.78,395,355433
224.0.0.251,2605,348031
23.62.20.107,639,334436
192.168.33.184,1199,329346
192.168.128.160,2157,320954
192.168.33.247,1147,320227
23.51.14.177,465,312859
31.13.82.7,321,306352
23.63.233.9,429,305057
172.224.110.16,517,300498
192.168.129.24,3714,295776
172.224.180.3,508,294524
17.23.18.34,507,294331
192.168.129.196,2992,292826
18.205.208.254,440,271648
172.224.180.4,435,257294
192.168.130.0,3264,254948
172.224.110.6,422,244470
172.224.180.6,421,243078
172.224.180.131,422,241842
172.224.110.5,414,239904
172.224.111.10,420,233802
0.0.0.0,678,231866
192.168.128.164,1493,231244
172.224.111.14,345,212184
17.248.167.55,370,210192
172.224.111.12,334,204756
17.248.225.68,2544,198288
17.248.225.70,2534,197588
172.224.110.7,337,197106
192.168.129.184,2462,196698
172.224.180.138,339,193304
172.224.180.9,338,191928
172.224.180.5,326,188364
17.248.167.88,354,178722
fe80::89b:5560:4689:df8a,747,172586
17.248.167.41,314,169032
ff02::16,1600,163860
17.248.225.67,1770,150393
17.248.167.68,246,148953
192.168.130.156,1775,138368
17.248.167.73,216,136422
23.62.20.91,435,133895
151.101.1.44,198,131164
17.248.167.106,245,130800
23.217.68.33,329,123583
31.13.82.36,285,121217
142.250.194.110,263,120418
172.224.111.8,201,112914
17.248.167.70,216,112770
17.57.145.148,164,111803
17.248.167.89,214,111300
fe80::86e:f2ff:28cb:ffc0,1091,107508
23.62.20.102,257,107422
17.248.225.65,1366,106468
17.248.167.90,202,106422
10.4.128.16,180,106200
18.155.192.75,194,104273
172.224.111.7,160,103146
17.248.225.69,1303,101602
124.146.153.154,206,96268
172.224.180.7,155,94856
8.8.4.4,575,92453
17.248.167.102,180,88938
192.168.131.140,676,88556
142.250.194.131,202,88345
192.168.34.57,198,87912
17.248.167.84,121,87100
65.8.177.106,158,86846
103.43.90.19,132,86141
17.248.167.101,171,85608
192.168.130.116,995,84488
172.217.26.238,202,84172
172.224.110.19,147,83736
8.8.8.8,578,82913
172.224.110.8,145,82266
13.227.77.215,256,81195
35.212.26.181,125,80562
35.212.76.96,123,80530
17.253.69.207,145,80422
17.57.145.151,192,79914
17.253.150.10,75,78590
17.248.167.105,122,77828
ff02::2,1132,76200
183.79.48.249,169,72063
147.92.146.114,157,71914
23.62.20.111,137,71771
202.233.84.1,205,71618
18.173.121.68,156,70990
172.217.175.46,181,68963
182.22.30.204,158,68955
17.253.145.10,49,68942
17.248.225.64,876,68312
192.168.34.66,286,67030
172.224.110.11,99,66836
103.132.192.30,195,66768
34.102.157.207,126,66013
151.101.108.157,138,65613
172.224.111.16,109,65004
172.224.110.4,106,64770
65.8.180.2,102,64748
104.21.34.165,235,64200
17.248.167.85,130,61386
142.251.42.138,106,60786
115.127.227.158,126,60520
172.217.175.34,101,60477
17.248.167.71,125,59682
17.248.167.56,124,59604
147.92.191.92,127,59398
3.115.53.205,188,58139
172.224.110.18,84,57798
17.248.167.57,78,57330
108.139.10.31,175,54528
18.155.192.58,153,54199
172.224.110.20,74,53076
172.224.180.135,106,52944
172.224.110.9,105,52866
108.138.246.13,144,52643
182.161.74.19,145,52630
17.248.167.54,94,52008
17.248.167.42,72,51606
172.224.180.10,71,51528
65.8.180.82,128,51482
182.161.74.48,115,51433
192.168.129.84,240,51280
142.250.194.142,109,50862
52.193.218.111,154,50856
142.250.77.162,137,50333
23.51.14.193,111,49985
17.248.167.39,89,48990
17.248.167.69,86,48756
::,509,47834
172.217.26.226,112,47640
151.101.64.84,76,47475
31.13.82.142,65,46414
35.244.205.217,104,46144
17.248.167.103,81,45738
142.251.42.130,82,45376
151.101.1.91,165,45278
172.224.180.133,74,45192
13.112.141.181,129,45011
142.251.42.170,104,44934
192.168.33.201,130,44135
17.248.167.53,77,44112
