source,dest,packets,traffic_in_bytes
192.168.100.201,239.192.0.1,509832,966058768
192.168.63.253,192.168.63.254,259409,122054856
192.168.63.254,192.168.63.253,263163,110925424
192.168.63.253,192.168.128.2,22699,31473345
192.168.63.253,192.168.130.44,5656,922544
192.168.33.120,17.57.145.137,643,878189
192.168.128.2,192.168.63.253,9484,716130
192.168.130.44,192.168.63.253,7246,558866
192.168.63.253,192.168.159.254,4396,406944
192.168.63.253,192.168.130.224,1902,352520
192.168.159.254,192.168.63.253,3140,348540
192.168.130.238,151.101.195.6,480,317022
192.168.130.238,151.101.3.6,477,316932
192.168.130.238,151.101.131.6,476,316818
192.168.130.238,151.101.67.6,478,314700
192.168.63.253,192.168.128.52,1615,284222
192.168.63.253,192.168.129.173,1885,272766
192.168.63.253,192.168.129.212,1629,257958
23.217.68.33,192.168.33.115,379,252404
192.168.130.44,17.248.167.56,340,227562
192.168.63.253,192.168.128.72,1104,203052
192.168.130.44,17.248.167.68,384,199458
192.168.130.44,17.248.167.90,374,198678
192.168.63.253,192.168.129.180,720,198650
192.168.129.173,192.168.63.253,2500,193752
192.168.63.253,192.168.130.192,1295,192596
192.168.130.224,192.168.63.253,2398,186390
192.168.129.173,172.224.111.16,322,181482
192.168.130.44,17.248.167.89,314,178230
192.168.130.44,17.248.167.53,269,177348
192.168.33.120,17.42.251.72,2301,176134
192.168.130.44,17.248.167.85,315,174366
192.168.33.120,17.42.251.69,2267,173498
192.168.130.44,17.248.167.107,266,171858
192.168.129.212,192.168.63.253,2188,169920
192.168.130.44,151.101.3.6,336,167052
192.168.130.44,151.101.67.6,336,165888
192.168.130.44,151.101.131.6,336,165888
192.168.130.44,17.248.167.88,307,164544
192.168.128.52,192.168.63.253,2124,163836
192.168.130.44,151.101.195.6,334,163404
192.168.130.44,17.248.167.102,294,162216
192.168.63.253,192.168.131.16,762,161566
192.168.63.253,192.168.130.208,992,160738
192.168.130.44,17.248.167.91,231,159930
192.168.130.44,17.248.167.43,299,158664
192.168.130.44,17.248.167.54,245,158394
192.168.63.253,192.168.130.238,974,158070
192.168.130.44,17.248.167.75,262,157092
192.168.129.173,172.224.111.5,287,156414
192.168.130.44,17.248.167.59,254,155154
192.168.129.173,17.248.225.14,1924,150056
192.168.63.253,192.168.129.196,1472,144146
192.168.129.173,172.224.111.6,245,139998
192.168.129.173,17.248.225.29,1791,139682
192.168.130.44,17.248.167.73,221,139440
192.168.129.173,172.224.110.6,259,138462
192.168.129.173,172.224.111.9,254,138072
192.168.130.196,151.101.131.52,193,137928
192.168.130.196,151.101.3.52,192,137886
192.168.130.196,151.101.195.52,188,137646
192.168.129.196,192.168.63.253,1470,136366
192.168.130.196,151.101.67.52,193,135382
192.168.130.44,17.248.167.69,282,135000
192.168.129.173,17.248.225.44,1723,134378
192.168.129.212,172.224.110.5,236,134040
192.168.129.173,64.233.189.108,1716,133848
192.168.129.173,64.233.189.109,1716,133848
192.168.63.253,192.168.129.69,758,130848
