dest,packets,traffic_in_bytes
239.192.0.1,1428703,2821150038
192.168.63.254,770217,367467463
192.168.63.253,942767,346205275
192.168.129.124,39683,54576347
192.168.128.2,33327,40621307
192.168.128.16,19521,16612283
192.168.128.220,7379,5492599
192.168.130.44,21751,2202936
151.101.67.6,3976,1809523
151.101.195.6,3905,1801052
151.101.131.6,3881,1790660
151.101.3.6,3929,1784132
17.248.225.29,18363,1492806
17.248.225.44,18151,1471381
17.248.225.14,14986,1184610
17.248.167.68,1945,1094718
209.85.137.4,15490,1029212
192.168.33.115,1375,965983
192.168.159.254,6025,961020
172.224.111.4,1497,936702
45.60.67.13,1220,906455
17.57.145.137,791,889715
17.248.167.88,1562,848478
17.248.167.102,1555,847932
172.224.110.5,1326,766982
17.248.167.56,1241,749856
172.224.110.16,1315,743802
17.248.167.59,1269,737570
17.248.167.89,1283,709738
17.248.167.90,1338,708205
172.224.110.6,1168,706040
255.255.255.255,2064,705878
17.248.167.70,1335,703314
192.168.129.173,6882,700564
192.168.130.224,5501,684848
172.224.111.14,1107,684216
17.248.167.107,1100,680994
172.224.180.4,1119,678566
17.248.167.41,1244,672564
172.224.111.10,1078,655674
172.224.180.138,1140,652610
172.224.110.7,1055,648624
17.248.167.105,1182,642746
17.248.225.69,7881,642582
192.168.128.52,5448,636350
17.248.167.53,1049,635029
17.248.167.40,1054,619606
17.248.167.85,1125,617292
17.248.167.73,1026,616140
ff02::fb,4036,615664
17.248.167.69,1159,601548
172.224.111.6,978,574290
192.168.129.212,5121,563114
17.248.167.55,995,559848
172.224.111.9,892,554442
17.248.167.52,991,540692
192.168.130.104,1773,538271
172.224.180.6,932,535208
17.248.167.43,958,533310
17.248.167.86,942,530748
172.224.180.3,853,514592
17.248.167.106,984,513000
172.224.111.7,797,501042
17.248.225.68,6389,498038
17.248.167.87,869,494832
172.224.180.131,864,491814
172.224.180.135,765,485406
224.0.0.251,3700,484834
192.168.129.248,4756,484358
172.224.180.132,778,481164
172.224.110.4,785,477768
192.168.128.72,3898,476930
172.224.180.9,794,461388
172.224.110.10,771,459578
17.248.167.54,768,451476
17.248.167.58,786,450990
17.248.167.91,700,448720
17.248.225.70,5732,446920
17.248.167.103,835,443562
172.224.180.133,711,440444
172.224.111.12,697,431484
172.224.110.20,702,427916
17.248.167.72,727,425874
172.224.110.11,736,422684
17.248.225.65,5259,421472
172.224.111.16,720,420138
172.224.110.8,694,415482
172.224.111.5,642,412724
172.224.110.19,648,410580
172.224.111.13,677,408900
172.224.111.11,605,408540
192.168.130.192,3652,408068
172.224.180.7,682,405332
192.168.129.180,2615,402266
172.224.180.136,629,394628
17.248.167.75,655,388788
17.248.225.67,4767,374485
17.248.167.74,618,372730
172.224.110.9,652,364902
8.8.8.8,4212,358766
8.8.4.4,4229,358742
192.168.130.208,3367,353804
172.224.110.18,560,352470
172.224.110.14,548,350220
17.248.225.64,4264,346128
192.168.131.16,2744,345198
172.224.111.8,499,330630
192.168.129.40,3187,325378
192.168.130.196,2706,318152
17.248.167.101,604,316482
17.248.167.42,514,316032
17.248.167.39,555,315256
192.168.130.238,2679,313946
172.224.110.17,453,313902
17.248.167.84,488,312945
172.224.110.12,563,311954
172.224.180.5,523,307536
17.248.167.71,527,305188
192.168.129.196,2997,301016
17.42.251.69,3912,300272
17.42.251.72,3899,299706
17.248.167.36,554,299426
192.168.129.88,2540,298300
192.168.129.69,2416,298246
17.248.167.37,512,289580
172.224.110.13,454,283758
192.168.131.172,2575,277606
172.224.180.8,475,274884
172.224.180.137,482,271472
192.168.131.192,2539,267486
17.248.225.66,3122,261412
192.168.131.132,2333,243467
ff02::16,2244,229600
17.248.167.38,411,227844
172.224.111.15,307,218418
17.248.167.104,404,215472
17.253.69.207,959,210386
172.224.110.15,321,207684
172.224.180.10,369,206172
192.168.33.247,300,199094
151.101.67.52,258,184594
151.101.131.52,253,180180
151.101.3.52,252,180138
151.101.195.52,248,179898
64.233.189.108,2116,163336
64.233.189.109,2040,157424
192.168.33.120,690,156190
192.168.129.24,1826,148298
17.57.145.27,268,139976
192.168.130.76,1327,130710
172.217.31.164,487,130350
192.168.130.0,1575,125292
17.248.167.100,204,122346
182.248.170.97,1568,121488
192.168.33.184,249,115132
17.57.155.39,1518,114932
17.57.145.148,178,113130
192.168.130.116,680,112270
172.224.180.134,125,110928
192.168.128.160,1055,110052
ff02::2,1588,106960
18.155.192.122,1368,106279
31.13.82.174,201,104238
192.168.129.184,1262,102862
108.177.97.108,1235,94554
23.217.68.33,767,94004
17.248.167.57,150,93168
108.177.97.109,1215,93010
108.177.125.109,1203,92106
108.177.125.108,1202,92028
162.159.194.66,117,84958
17.253.69.196,1071,83522
17.57.145.151,241,83480
31.13.82.142,115,81930
57.144.150.34,150,81636
17.56.9.32,1050,81244
192.168.128.164,590,79036
17.156.192.7,1014,78884
74.125.203.108,1020,78152
172.64.69.66,114,78082
162.159.196.66,113,78040
172.64.68.66,111,77956
192.168.131.140,580,77876
17.253.150.10,71,77861
142.251.170.109,1015,77842
23.52.128.21,984,77510
142.251.170.108,1010,77452
74.125.203.109,1009,77310
17.253.69.205,975,76034
17.253.145.10,54,75902
65.1.18.34,136,74466
17.57.154.7,905,72302
35.212.26.181,72,71996
35.212.76.96,64,71579
23.52.128.17,886,69108
17.23.18.34,430,67015
17.253.69.200,838,65300
17.253.69.195,743,64834
17.253.69.201,827,64474
17.253.69.198,805,62758
17.253.69.202,800,62368
103.43.90.19,76,60851
