source,dest,packets,traffic_in_bytes
192.168.100.201,239.192.0.1,1428703,2821150038
192.168.63.253,192.168.63.254,769526,367087096
192.168.63.254,192.168.63.253,777722,332554206
209.85.137.4,192.168.129.124,38308,54313238
192.168.63.253,192.168.128.2,33327,40621307
18.155.192.122,192.168.128.220,3117,4620791
45.60.67.13,192.168.128.16,1989,2495728
192.168.130.44,192.168.63.253,30920,2358936
192.168.63.253,192.168.130.44,21728,2195070
17.57.154.7,192.168.128.16,1424,1961566
172.217.31.164,192.168.128.16,1207,1453981
142.250.196.136,192.168.128.16,1082,1413086
65.8.179.77,192.168.128.16,892,1316044
192.168.128.2,192.168.63.253,16422,1261004
142.250.196.104,192.168.128.16,767,1030986
192.168.129.124,209.85.137.4,15490,1029212
192.168.128.16,45.60.67.13,1220,906455
192.168.33.120,17.57.145.137,643,878189
192.168.128.220,192.168.63.253,5008,796930
192.168.129.173,192.168.63.253,9834,771276
192.168.63.253,192.168.129.173,6837,685174
192.168.63.253,192.168.130.224,5494,682454
192.168.63.253,192.168.128.52,5398,619250
182.22.16.123,192.168.128.16,443,612462
192.168.128.52,192.168.63.253,7744,590702
192.168.130.224,192.168.63.253,7654,589400
192.168.129.212,192.168.63.253,7392,565042
192.168.63.253,192.168.129.212,5044,536780
192.168.63.253,192.168.128.220,3635,463726
192.168.63.253,192.168.128.72,3810,446834
192.168.63.253,192.168.128.16,2069,444176
192.168.63.253,192.168.159.254,4757,440658
192.168.128.72,192.168.63.253,5372,431710
192.168.63.253,192.168.130.192,3636,402596
192.168.63.253,192.168.129.248,4446,400094
192.168.129.248,192.168.63.253,4454,399560
192.168.63.253,192.168.129.180,2598,396452
192.168.130.192,192.168.63.253,5024,389592
192.168.129.180,192.168.63.253,3554,387498
192.168.159.254,192.168.63.253,3399,377093
192.168.130.208,192.168.63.253,4736,363410
0.0.0.0,255.255.255.255,1034,353618
192.168.63.253,192.168.130.208,3350,347990
23.216.153.78,192.168.128.16,252,344492
192.168.129.40,192.168.63.253,4390,332784
192.168.130.238,151.101.3.6,501,327630
192.168.130.238,151.101.195.6,502,327600
192.168.130.238,151.101.131.6,500,327516
192.168.130.238,151.101.67.6,502,325398
192.168.63.253,192.168.131.16,2666,318522
23.51.14.147,192.168.128.16,314,317691
192.168.130.238,192.168.63.253,3780,311098
192.168.63.253,192.168.130.238,2666,309500
192.168.63.253,192.168.129.40,3136,307936
23.217.68.33,192.168.33.115,465,306362
192.168.63.254,255.255.255.255,885,302670
23.62.20.107,192.168.128.16,354,299952
23.51.14.177,192.168.128.16,264,289219
192.168.130.196,192.168.63.253,3680,287474
31.13.82.7,192.168.128.16,258,287235
192.168.63.253,192.168.130.196,2610,285320
192.168.63.253,192.168.129.196,2946,283574
192.168.131.16,192.168.63.253,3694,283098
192.168.131.172,192.168.63.253,3604,278888
192.168.131.192,192.168.63.253,3614,278502
192.168.129.196,192.168.63.253,2948,276324
192.168.129.88,192.168.63.253,3498,275408
192.168.63.253,192.168.131.172,2558,271792
192.168.63.253,192.168.129.69,2326,267466
192.168.63.253,192.168.129.88,2442,264784
192.168.63.253,192.168.131.192,2524,262356
192.168.129.69,192.168.63.253,3266,253722
23.63.233.9,192.168.128.16,252,252189
192.168.128.16,192.168.63.253,2128,240772
17.23.18.34,192.168.128.220,246,240322
192.168.63.253,192.168.131.132,2323,240047
18.205.208.254,192.168.128.16,243,239577
192.168.131.132,192.168.63.253,3124,238658
192.168.130.44,17.248.167.56,340,227562
192.168.129.173,172.224.111.4,404,227298
192.168.129.173,151.101.3.6,473,210330
fe80::89b:5560:4689:df8a,ff02::fb,786,210075
192.168.129.173,151.101.67.6,471,209010
192.168.129.173,151.101.131.6,469,207690
192.168.129.173,151.101.195.6,469,207690
192.168.130.196,151.101.195.6,320,200976
192.168.130.44,17.248.167.68,384,199458
192.168.129.173,172.224.110.6,362,199056
192.168.130.44,17.248.167.90,374,198678
192.168.129.24,192.168.63.253,2594,198494
192.168.129.173,17.248.225.14,2523,196762
192.168.130.196,151.101.67.6,310,189240
192.168.63.254,192.168.33.115,218,188316
192.168.130.196,151.101.131.6,291,187758
192.168.33.184,224.0.0.251,794,186354
192.168.129.173,17.248.225.29,2376,185296
192.168.129.173,172.224.111.16,322,181482
192.168.129.173,172.224.110.16,317,181092
192.168.130.196,151.101.131.52,253,180180
192.168.130.196,151.101.3.52,252,180138
192.168.130.196,151.101.195.52,248,179898
192.168.130.44,17.248.167.89,314,178230
192.168.33.120,17.42.251.72,2326,178052
192.168.130.196,151.101.67.52,253,177634
192.168.129.173,17.248.225.44,2277,177574
192.168.130.44,17.248.167.53,269,177348
192.168.129.212,172.224.110.5,313,176838
192.168.130.196,151.101.3.6,291,176730
192.168.33.120,17.42.251.69,2292,175416
192.168.129.173,172.224.110.5,303,174744
192.168.130.44,17.248.167.85,315,174366
192.168.129.173,172.224.110.7,308,173820
192.168.130.0,192.168.63.253,2290,172350
192.168.130.44,17.248.167.107,266,171858
192.168.33.115,192.168.63.254,163,171186
192.168.129.173,172.224.180.4,294,170100
192.168.130.44,151.101.3.6,336,167052
192.168.130.44,151.101.67.6,336,165888
192.168.130.44,151.101.131.6,336,165888
192.168.130.44,17.248.167.88,307,164544
192.168.130.44,151.101.195.6,334,163404
192.168.130.44,17.248.167.102,294,162216
192.168.130.44,17.248.167.91,231,159930
192.168.130.44,17.248.167.43,299,158664
192.168.130.44,17.248.167.54,245,158394
192.168.131.16,172.224.180.138,299,157350
192.168.130.44,17.248.167.75,262,157092
192.168.129.173,172.224.111.5,287,156414
192.168.130.44,17.248.167.59,254,155154
192.168.33.115,17.253.69.207,227,153322
192.168.129.173,172.224.180.131,261,151758
192.168.128.164,192.168.63.253,898,151708
192.168.130.76,192.168.63.253,1914,148260
192.168.129.173,17.248.167.41,283,148218
192.168.131.16,172.224.111.10,265,148128
192.168.130.44,172.224.110.16,268,144420
192.168.63.253,192.168.129.24,1813,143852
23.217.68.33,192.168.33.247,140,143639
192.168.129.184,192.168.63.253,1838,141494
192.168.130.192,17.248.225.29,1804,140648
192.168.129.212,172.224.180.138,252,140544
192.168.128.72,172.224.110.5,252,140544
192.168.129.173,172.224.111.6,245,139998
192.168.130.44,17.248.167.73,221,139440
192.168.128.72,172.224.111.7,252,139230
192.168.130.224,17.248.167.68,246,138762
192.168.129.173,172.224.180.9,262,138696
192.168.129.173,172.224.111.9,254,138072
192.168.130.224,151.101.67.6,352,138036
192.168.130.192,17.248.225.44,1761,137358
192.168.130.224,151.101.195.6,345,136326
192.168.130.224,151.101.3.6,354,135864
192.168.130.224,151.101.131.6,348,135396
192.168.33.120,17.248.225.29,1734,135236
192.168.130.44,17.248.167.69,282,135000
192.168.129.212,172.224.110.16,235,133962
192.168.129.173,64.233.189.108,1716,133848
192.168.129.173,64.233.189.109,1716,133848
192.168.33.120,17.248.225.14,1695,132210
192.168.33.120,17.248.225.44,1683,131258
192.168.63.253,192.168.130.76,1322,129000
192.168.129.173,17.248.167.68,237,128862
192.168.129.212,172.224.111.10,213,128304
192.168.131.16,172.224.110.7,224,127848
192.168.129.173,172.224.111.14,223,127770
192.168.131.16,172.224.180.132,239,127704
192.168.131.16,172.224.180.6,222,126378
192.168.129.88,172.224.180.133,126,124146
192.168.129.173,17.248.167.105,232,123216
192.168.63.253,192.168.130.0,1564,121530
192.168.128.16,172.217.31.164,452,121374
192.168.129.173,17.248.167.59,223,121200
192.168.129.173,17.248.167.88,232,120588
192.168.130.238,182.248.170.97,1547,119866
192.168.130.44,17.248.167.103,214,119184
192.168.128.72,17.248.225.29,1522,118700
192.168.33.120,17.57.145.27,107,118185
192.168.130.44,17.248.167.86,232,117960
151.101.1.44,192.168.128.16,120,117274
192.168.130.44,17.248.167.52,204,117090
192.168.129.212,172.224.111.14,199,116700
192.168.128.72,17.248.225.44,1490,116204
192.168.131.16,172.224.111.4,209,116166
192.168.129.173,172.224.110.12,212,115086
192.168.130.44,17.248.167.41,208,114774
192.168.129.173,172.224.180.3,219,114318
192.168.128.160,192.168.63.253,1490,113880
192.168.129.173,17.248.167.70,218,111612
192.168.130.44,172.224.111.4,183,111510
192.168.129.88,172.224.110.19,114,111384
192.168.130.44,17.248.167.40,180,111276
192.168.63.253,192.168.130.116,676,110902
192.168.33.115,17.248.225.44,1412,110136
192.168.128.72,172.224.180.138,198,110052
192.168.129.212,172.224.111.6,197,109974
